time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-08-01 07:45:00",0,0,0,288672.00,288672.00,0.00,71899.62,0,0.00,26261.40,301972.47,301972.47,0,11.21,2.30,11.44,0.98,213.65,123.80,34.50,59.96,11.45,0.00,11.71,90.17,31.08,95.48,0,-6.91,0,118143.41,96668.58,73860.05,0,0,0.00,22153.87,24668.23,25077.52,0,0,0,0,0,0.00,12000.72,7963.11,6297.57,122484.18,101237.25,80358.88,0,0,0.00,4.73,3.95,2.53,-1.95,1.20,3.04,5.12,4.13,3.95,0.92,0.96,0.64,213.69,213.00,214.28,123.42,124.57,123.40,41.02,34.00,28.47
"2015-08-01 08:00:00",0,0,0,288674.91,288674.91,0.00,71900.44,0,0.00,26262.08,301975.41,301975.41,0,11.67,-1.33,11.74,0.99,213.68,123.81,34.53,60.02,11.54,0.02,11.80,90.17,31.08,95.48,0,-6.91,0,118144.59,96669.61,73860.70,0,0,0.00,22153.87,24668.64,25077.93,0,0,0,0,0,0.00,12001.14,7963.25,6297.69,122485.45,101238.36,80359.73,0,0,0.00,4.65,4.73,2.29,-0.77,-3.07,2.52,4.58,5.64,3.40,1.00,0.84,0.67,213.92,213.08,214.04,123.19,124.68,123.56,39.03,38.84,25.73
"2015-08-01 08:15:01",0,0,0,288678.03,288678.03,0.00,71901.31,0,0.00,26262.72,301978.59,301978.59,0,12.03,2.07,12.21,0.99,213.36,123.63,36.19,60.01,11.67,0.81,11.96,90.17,31.08,95.48,0,-6.91,0,118145.85,96670.73,73861.45,0,0,0.00,22153.91,24669.09,25078.32,0,0,0,0,0,0.00,12001.54,7963.36,6297.81,122486.78,101239.52,80360.64,0,0,0.00,4.92,4.39,2.72,-1.52,1.87,1.72,5.15,4.76,3.22,0.96,0.92,0.85,213.54,212.65,213.89,123.20,124.48,123.21,42.49,37.63,28.47
"2015-08-01 08:30:00",0,0,0,288681.03,288681.03,0.00,71902.10,0,0.00,26263.39,301981.72,301981.72,0,10.47,-2.99,10.89,0.96,213.50,123.71,31.84,60.02,12.42,0.93,12.77,90.17,31.08,95.48,0,-6.91,0,118147.20,96671.66,73862.18,0,0,0.00,22153.97,24669.38,25078.76,0,0,0,0,0,0.00,12001.90,7963.58,6297.91,122488.19,101240.53,80361.55,0,0,0.00,5.10,2.38,2.99,-1.92,1.14,-2.21,5.44,2.64,3.72,0.94,0.90,0.81,213.62,212.96,213.92,123.09,124.45,123.60,44.23,21.22,30.08
"2015-08-01 08:45:00",0,0,0,288683.72,288683.72,0.00,71902.71,0,0.00,26264.30,301984.47,301984.47,0,9.54,-3.71,10.24,0.93,213.60,123.77,29.40,60.02,11.80,0.04,12.11,90.17,31.08,95.48,0,-6.91,0,118148.41,96672.49,73862.83,0,0,0.00,22153.97,24669.60,25079.14,0,0,0,0,0,0.00,12002.35,7963.91,6298.05,122489.46,101241.44,80362.39,0,0,0.00,5.12,2.03,2.39,-2.15,-3.74,2.19,4.65,4.26,3.24,1.00,0.48,0.74,213.70,213.11,213.98,123.14,124.57,123.61,43.82,18.24,26.14
"2015-08-01 09:00:01",0,0,0,288686.44,288686.44,0.00,71903.29,0,0.00,26265.16,301987.28,301987.28,0,10.96,-2.22,11.19,0.98,213.19,123.53,33.32,60.01,10.72,-1.35,11.08,90.17,31.08,95.48,0,-6.91,0,118149.62,96673.32,73863.53,0,0,0.00,22153.97,24669.79,25079.53,0,0,0,0,0,0.00,12002.78,7964.20,6298.18,122490.75,101242.34,80363.26,0,0,0.00,4.73,3.57,2.67,-2.39,-1.91,2.08,5.30,3.01,3.38,0.89,1.00,0.79,213.31,212.76,213.49,122.89,124.33,123.38,40.79,31.56,27.60
"2015-08-01 09:15:00",0,0,0,288689.22,288689.22,0.00,71904.00,0,0.00,26265.81,301990.09,301990.09,0,11.03,2.52,11.32,0.97,213.29,123.60,34.18,60.01,11.08,-0.49,11.33,90.17,31.08,95.48,0,-6.91,0,118150.85,96674.20,73864.18,0,0,0.00,22153.97,24670.04,25080.00,0,0,0,0,0,0.00,12003.21,7964.38,6298.22,122492.06,101243.29,80364.10,0,0,0.00,4.86,3.70,2.47,-1.60,1.80,2.33,5.11,4.11,3.40,0.95,0.90,0.73,213.52,212.81,213.55,122.90,124.52,123.39,41.68,32.11,28.76
"2015-08-01 09:30:00",0,0,0,288692.16,288692.16,0.00,71904.79,0,0.00,26266.43,301993.06,301993.06,0,11.54,-1.77,11.68,0.99,213.45,123.70,33.08,60.01,11.14,0.24,11.34,90.17,31.08,95.48,0,-6.91,0,118152.08,96675.22,73864.84,0,0,0.00,22153.97,24670.36,25080.46,0,0,0,0,0,0.00,12003.63,7964.52,6298.27,122493.36,101244.39,80364.95,0,0,0.00,5.03,4.02,2.49,-1.47,-1.46,1.16,5.24,4.27,2.75,0.96,0.94,0.91,213.42,213.10,213.82,123.17,124.41,123.52,43.09,34.18,21.96
"2015-08-01 09:45:01",0,0,0,288694.97,288694.97,0.00,71905.34,0,0.00,26267.30,301995.97,301995.97,0,11.31,-4.09,12.03,0.94,213.54,123.75,33.68,60.01,11.58,0.25,11.80,90.17,31.08,95.48,0,-6.91,0,118153.32,96676.09,73865.57,0,0,0.00,22153.97,24670.54,25080.85,0,0,0,0,0,0.00,12004.05,7964.84,6298.41,122494.66,101245.34,80365.84,0,0,0.00,4.64,4.13,2.54,-2.37,-3.21,1.49,5.20,2.60,2.95,0.89,1.00,0.86,213.53,213.38,213.72,123.01,124.44,123.81,39.49,35.84,25.72
"2015-08-01 10:00:01",0,0,0,288697.66,288697.66,0.00,71905.84,0,0.00,26268.22,301998.78,301998.78,0,10.38,-1.24,10.46,0.99,214.27,124.18,32.09,59.94,11.22,-1.55,11.63,90.17,31.08,95.48,0,-6.91,0,118154.53,96676.92,73866.21,0,0,0.00,22153.97,24670.70,25081.17,0,0,0,0,0,0.00,12004.46,7965.17,6298.60,122495.95,101246.24,80366.66,0,0,0.00,4.95,3.14,2.47,-1.35,-1.55,2.22,5.13,3.50,3.32,0.94,0.86,0.74,214.26,214.01,214.55,123.51,124.90,124.12,41.51,28.02,26.74
"2015-08-01 10:15:00",0,0,0,288700.38,288700.38,0.00,71906.43,0,0.00,26268.98,302001.56,302001.56,0,11.94,-1.11,11.99,1.00,214.98,124.58,35.38,60.01,10.86,-1.12,11.21,90.17,31.08,95.48,0,-6.91,0,118155.74,96677.77,73866.86,0,0,0.00,22153.97,24670.87,25081.59,0,0,0,0,0,0.00,12004.88,7965.40,6298.71,122497.23,101247.19,80367.52,0,0,0.00,4.86,3.15,3.34,-0.70,3.72,-0.88,4.90,4.87,3.45,0.99,1.00,1.00,214.94,214.69,215.30,124.00,125.21,124.54,39.54,38.92,27.69
"2015-08-01 10:30:00",0,0,0,288703.16,288703.16,0.00,71907.13,0,0.00,26269.79,302004.41,302004.41,0,10.69,0.85,10.72,1.00,214.26,124.17,30.71,60.02,10.90,-0.74,11.17,90.17,31.08,95.48,0,-6.91,0,118156.95,96678.66,73867.55,0,0,0.00,22153.97,24671.16,25082.00,0,0,0,0,0,0.00,12005.30,7965.65,6298.84,122498.52,101248.14,80368.40,0,0,0.00,4.82,2.81,3.06,-0.91,3.49,-1.73,4.73,4.48,2.53,1.00,0.63,1.00,214.28,213.86,214.65,123.60,124.93,123.98,42.30,24.04,25.79
"2015-08-01 10:45:00",0,0,0,288705.91,288705.91,0.00,71907.73,0,0.00,26270.73,302007.25,302007.25,0,11.61,0.14,11.61,1.00,214.33,124.21,35.06,60.01,11.01,-0.82,11.33,90.17,31.08,95.48,0,-6.91,0,118158.15,96679.50,73868.26,0,0,0.00,22153.97,24671.36,25082.41,0,0,0,0,0,0.00,12005.74,7965.97,6299.02,122499.79,101249.07,80369.33,0,0,0.00,4.30,4.75,2.56,-1.79,-0.79,2.71,4.66,4.68,3.73,0.92,1.00,0.69,214.24,214.01,214.65,123.52,125.02,124.03,36.58,40.71,28.56
"2015-08-01 11:00:00",0,0,0,288708.66,288708.66,0.00,71908.55,0,0.00,26271.53,302010.06,302010.06,0,10.98,-0.04,10.42,1.00,214.40,124.25,34.88,59.93,10.99,-1.17,11.35,90.17,31.08,95.48,0,-6.91,0,118159.34,96680.34,73868.97,0,0,0.00,22153.97,24671.53,25083.05,0,0,0,0,0,0.00,12006.17,7966.27,6299.09,122501.06,101249.99,80370.35,0,0,0.00,4.77,3.14,3.07,-1.58,-1.64,3.19,5.03,3.54,4.43,0.95,0.89,0.69,214.29,213.99,214.83,123.62,124.93,124.14,40.97,28.53,31.16
"2015-08-01 11:15:01",0,0,0,288711.94,288711.94,0.00,71909.43,0,0.00,26272.22,302013.44,302013.44,0,16.42,2.37,16.59,0.99,214.28,124.19,47.26,59.99,11.00,0.45,11.20,90.17,31.08,95.48,0,-6.91,0,118160.74,96681.41,73869.79,0,0,0.00,22154.07,24671.66,25083.70,0,0,0,0,0,0.00,12006.49,7966.59,6299.14,122502.52,101251.17,80371.45,0,0,0.00,6.85,5.81,3.76,1.63,-1.87,2.61,7.04,6.10,4.58,0.97,0.95,0.82,214.07,214.18,214.59,123.68,124.72,124.17,57.19,48.24,36.36
"2015-08-01 11:30:00",0,0,0,288716.00,288716.00,0.00,71910.45,0,0.00,26272.92,302017.59,302017.59,0,16.80,4.13,17.30,0.97,213.43,123.70,47.82,60.01,14.37,1.18,14.68,90.17,31.08,95.48,0,-6.91,0,118162.45,96682.86,73870.72,0,0,0.00,22154.41,24671.72,25084.32,0,0,0,0,0,0.00,12006.61,7967.09,6299.22,122504.30,101252.68,80372.61,0,0,0.00,6.97,6.28,4.01,-1.01,3.34,1.44,6.89,7.11,3.74,0.96,1.00,0.70,213.23,213.32,213.74,123.11,124.35,123.63,56.00,57.17,30.28
"2015-08-01 11:45:00",0,0,0,288720.25,288720.25,0.00,71911.53,0,0.00,26273.52,302021.88,302021.88,0,15.58,2.99,15.99,0.98,213.94,124.00,47.21,60.01,16.52,1.41,16.94,90.17,31.08,95.48,0,-6.91,0,118164.15,96684.44,73871.64,0,0,0.00,22154.71,24671.87,25084.95,0,0,0,0,0,0.00,12006.76,7967.49,6299.27,122506.05,101254.31,80373.78,0,0,0.00,6.69,5.36,3.53,1.70,-2.11,3.41,6.90,5.76,4.90,0.97,0.93,0.72,213.73,213.76,214.30,123.39,124.67,123.91,55.94,45.75,37.11
"2015-08-01 12:00:00",0,0,0,288724.75,288724.75,0.00,71912.78,0,0.00,26273.88,302026.53,302026.53,0,19.52,2.73,19.71,0.99,213.56,123.78,55.87,60.02,16.53,1.56,16.81,90.17,31.08,95.48,0,-6.91,0,118166.01,96686.02,73872.74,0,0,0.00,22155.13,24671.99,25085.65,0,0,0,0,0,0.00,12006.80,7967.80,6299.28,122507.96,101255.94,80375.09,0,0,0.00,7.86,6.63,5.03,1.08,-1.22,2.88,7.93,6.74,5.79,0.99,0.98,0.87,213.16,213.62,213.90,123.17,124.39,123.79,65.59,54.82,47.21
"2015-08-01 12:15:00",0,0,0,288728.97,288728.97,0.00,71914.15,0,0.00,26274.04,302030.97,302030.97,0,13.80,4.11,14.40,0.96,214.24,124.18,41.60,60.01,18.82,3.91,19.34,90.17,31.08,95.48,0,-6.91,0,118167.70,96687.46,73873.80,0,0,0.00,22155.52,24672.25,25086.37,0,0,0,0,0,0.00,12006.86,7967.90,6299.28,122509.71,101257.43,80376.40,0,0,0.00,5.70,4.29,3.81,-1.00,1.83,3.28,5.79,4.67,5.02,0.99,0.92,0.76,214.08,214.06,214.57,123.53,124.90,124.10,48.02,36.31,40.46
"2015-08-01 12:30:00",0,0,0,288732.47,288732.47,0.00,71915.59,0,0.00,26274.09,302034.72,302034.72,0,14.42,5.20,15.33,0.94,214.58,124.38,43.12,59.93,15.74,5.29,16.67,90.17,31.08,95.48,0,-6.91,0,118169.13,96688.60,73874.73,0,0,0.00,22155.89,24672.60,25087.09,0,0,0,0,0,0.00,12006.88,7967.94,6299.28,122511.20,101258.64,80377.58,0,0,0.00,5.75,4.97,3.70,1.42,1.75,2.03,5.92,5.26,4.22,0.97,0.94,0.88,214.52,214.25,214.97,123.63,125.20,124.29,48.32,41.78,39.27
"2015-08-01 12:45:00",0,0,0,288736.59,288736.59,0.00,71917.31,0,0.00,26274.11,302039.22,302039.22,0,21.57,6.02,22.39,0.96,214.77,124.49,62.40,60.01,14.09,5.65,15.24,90.17,31.08,95.48,0,-6.91,0,118170.73,96689.99,73875.88,0,0,0.00,22156.41,24673.09,25087.82,0,0,0,0,0,0.00,12006.90,7967.94,6299.28,122512.86,101260.09,80378.95,0,0,0.00,7.63,7.68,6.27,0.42,3.53,2.07,7.64,8.44,6.60,1.00,0.91,0.95,214.66,214.22,215.43,123.93,125.27,124.27,64.08,66.52,56.59
"2015-08-01 13:00:00",0,0,0,288742.97,288742.97,0.00,71920.17,0,0.00,26274.11,302046.22,302046.22,0,22.51,10.07,24.66,0.91,214.73,124.47,66.78,60.01,18.38,7.64,20.00,90.17,31.08,95.48,0,-6.91,0,118172.98,96692.20,73877.80,0,0,0.00,22157.25,24674.08,25088.85,0,0,0,0,0,0.00,12006.90,7967.94,6299.28,122515.25,101262.52,80381.13,0,0,0.00,8.62,7.94,6.40,2.88,2.48,3.97,9.09,8.32,7.53,0.93,0.93,0.87,214.76,214.18,215.24,123.71,125.40,124.31,73.45,66.32,60.56
"2015-08-01 13:15:00",0,0,0,288748.06,288748.06,0.00,71922.55,0,0.00,26274.11,302051.88,302051.88,0,24.10,9.95,26.07,0.92,214.46,124.31,71.91,59.96,25.27,11.66,27.99,90.17,31.08,95.48,0,-6.91,0,118174.87,96693.96,73879.24,0,0,0.00,22157.95,24674.83,25089.76,0,0,0,0,0,0.00,12006.90,7967.94,6299.28,122517.28,101264.45,80382.86,0,0,0.00,9.16,7.94,7.00,3.33,3.42,3.20,9.74,8.64,7.69,0.94,0.92,0.91,214.52,213.95,214.91,123.54,125.18,124.20,79.34,69.63,66.77
