time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-08-02 07:30:01",0,0,0,289143.16,289143.16,0.00,72080.91,0,0.00,26299.72,302480.00,302480.00,0,11.27,-4.65,12.19,0.92,214.21,124.10,33.35,60.01,10.75,-1.66,11.17,90.17,31.08,95.48,0,-6.91,0,118324.99,96833.25,73984.91,0,0,0.00,22209.17,24725.45,25146.30,0,0,0,0,0,0.00,12019.66,7977.48,6302.58,122679.85,101414.71,80505.23,0,0,0.00,4.74,3.32,3.21,-1.49,-2.12,-1.05,4.96,3.94,3.03,0.95,0.84,1.00,214.21,213.78,214.65,123.32,124.94,124.05,41.90,28.79,29.36
"2015-08-02 07:45:00",0,0,0,289146.06,289146.06,0.00,72081.63,0,0.00,26300.53,302483.09,302483.09,0,10.26,-3.82,10.95,0.94,214.18,124.09,31.35,60.02,11.44,-0.56,11.95,90.17,31.08,95.48,0,-6.91,0,118326.30,96834.13,73985.65,0,0,0.00,22209.23,24725.71,25146.70,0,0,0,0,0,0.00,12020.08,7977.74,6302.71,122681.23,101415.66,80506.15,0,0,0.00,5.24,2.23,2.80,-1.47,-3.06,0.71,5.03,3.78,2.89,1.00,0.59,0.97,214.21,213.78,214.54,123.41,124.79,124.06,45.11,20.83,28.12
"2015-08-02 08:00:00",0,0,0,289148.75,289148.75,0.00,72082.27,0,0.00,26301.39,302485.84,302485.84,0,10.22,-2.10,10.43,0.98,214.02,123.99,30.09,59.94,11.69,0.10,12.16,90.17,31.08,95.48,0,-6.91,0,118327.53,96834.91,73986.31,0,0,0.00,22209.26,24725.88,25147.13,0,0,0,0,0,0.00,12020.51,7978.07,6302.81,122682.54,101416.53,80506.99,0,0,0.00,4.85,2.89,2.48,-1.69,-1.59,1.19,5.14,3.30,2.74,0.94,0.88,0.90,214.08,213.66,214.31,123.29,124.68,124.01,41.67,26.46,22.13
"2015-08-02 08:15:00",0,0,0,289151.56,289151.56,0.00,72082.96,0,0.00,26302.06,302488.69,302488.69,0,10.86,-1.74,10.99,0.99,213.87,123.91,33.84,60.00,10.77,-0.51,11.05,90.17,31.08,95.48,0,-6.91,0,118328.73,96835.86,73986.97,0,0,0.00,22209.26,24726.10,25147.61,0,0,0,0,0,0.00,12020.95,7978.27,6302.84,122683.82,101417.57,80507.84,0,0,0.00,4.74,3.59,2.53,-1.82,-1.68,1.77,5.07,3.96,3.08,0.93,0.91,0.82,213.89,213.52,214.21,123.32,124.56,123.83,41.17,31.51,28.85
"2015-08-02 08:30:00",0,0,0,289154.31,289154.31,0.00,72083.65,0,0.00,26302.79,302491.50,302491.50,0,10.98,1.66,11.11,0.99,213.95,123.95,33.80,60.00,11.26,0.32,11.45,90.17,31.08,95.48,0,-6.91,0,118329.95,96836.71,73987.66,0,0,0.00,22209.26,24726.36,25148.04,0,0,0,0,0,0.00,12021.41,7978.47,6302.91,122685.12,101418.50,80508.70,0,0,0.00,4.92,3.47,2.70,-1.67,1.62,2.30,5.19,3.82,3.55,0.94,0.90,0.83,213.87,213.66,214.31,123.42,124.55,123.87,42.05,30.70,28.64
"2015-08-02 08:45:00",0,0,0,289157.00,289157.00,0.00,72084.28,0,0.00,26303.68,302494.28,302494.28,0,11.36,-5.26,11.31,0.91,213.97,123.97,29.63,60.01,10.89,-0.77,11.16,90.17,31.08,95.48,0,-6.91,0,118331.16,96837.53,73988.31,0,0,0.00,22209.27,24726.54,25148.47,0,0,0,0,0,0.00,12021.90,7978.78,6303.00,122686.42,101419.41,80509.55,0,0,0.00,4.37,4.03,2.97,-0.71,-2.31,-2.23,4.42,4.64,1.96,0.99,0.87,1.00,213.85,213.73,214.21,123.22,124.73,123.89,37.97,34.23,30.78
"2015-08-02 09:00:01",0,0,0,289159.66,289159.66,0.00,72084.88,0,0.00,26304.56,302497.03,302497.03,0,10.67,-1.19,10.73,0.99,214.54,124.32,32.76,59.98,10.78,-1.22,11.09,90.17,31.08,95.48,0,-6.91,0,118332.35,96838.36,73988.97,0,0,0.00,22209.28,24726.71,25148.88,0,0,0,0,0,0.00,12022.37,7979.10,6303.10,122687.68,101420.33,80510.38,0,0,0.00,4.76,3.17,2.45,-1.96,-1.23,2.73,5.15,3.39,3.66,0.93,0.88,0.78,214.51,214.26,214.86,123.66,125.08,124.22,41.63,27.14,29.50
"2015-08-02 09:15:00",0,0,0,289162.38,289162.38,0.00,72085.51,0,0.00,26305.31,302499.78,302499.78,0,10.79,-0.78,10.82,1.00,214.26,124.15,33.52,59.96,10.65,-0.98,10.92,90.17,31.08,95.48,0,-6.91,0,118333.55,96839.18,73989.65,0,0,0.00,22209.28,24726.86,25149.37,0,0,0,0,0,0.00,12022.80,7979.38,6303.14,122688.97,101421.24,80511.25,0,0,0.00,4.85,3.11,2.82,-1.93,-1.48,2.63,5.22,3.44,3.86,0.93,0.90,0.73,214.29,213.95,214.55,123.43,124.97,124.05,42.00,28.31,30.25
"2015-08-02 09:30:00",0,0,0,289165.16,289165.16,0.00,72086.14,0,0.00,26306.05,302502.59,302502.59,0,10.80,-2.73,11.14,0.97,214.44,124.26,33.05,60.01,10.89,-0.49,11.06,90.17,31.08,95.48,0,-6.91,0,118334.81,96840.03,73990.31,0,0,0.00,22209.28,24727.01,25149.86,0,0,0,0,0,0.00,12023.23,7979.64,6303.18,122690.30,101422.19,80512.11,0,0,0.00,4.93,3.10,2.77,-1.65,-1.67,0.59,5.20,3.52,2.83,0.95,0.88,0.98,214.30,214.15,214.87,123.61,124.87,124.29,42.61,27.83,28.72
"2015-08-02 09:45:00",0,0,0,289167.84,289167.84,0.00,72086.79,0,0.00,26306.92,302505.38,302505.38,0,9.95,-6.33,11.80,0.84,214.63,124.37,32.15,60.01,11.05,-0.47,11.26,90.17,31.08,95.48,0,-6.91,0,118336.03,96840.86,73990.97,0,0,0.00,22209.28,24727.22,25150.29,0,0,0,0,0,0.00,12023.68,7979.97,6303.27,122691.59,101423.11,80512.95,0,0,0.00,5.12,2.05,2.78,-1.35,-3.03,-1.95,4.93,3.66,3.40,1.00,0.56,0.82,214.70,214.25,214.91,123.65,125.14,124.31,44.17,18.16,23.59
"2015-08-02 10:00:00",0,0,0,289170.84,289170.84,0.00,72087.62,0,0.00,26307.70,302508.44,302508.44,0,15.31,6.71,16.72,0.92,214.93,124.55,46.07,60.01,11.20,-0.28,11.56,90.17,31.08,95.48,0,-6.91,0,118337.29,96841.77,73991.79,0,0,0.00,22209.31,24727.44,25150.87,0,0,0,0,0,0.00,12024.09,7980.29,6303.32,122692.91,101424.11,80513.99,0,0,0.00,5.81,5.34,4.16,2.24,0.92,3.55,6.22,5.41,5.47,0.93,0.99,0.76,214.98,214.55,215.25,124.03,125.23,124.38,48.86,45.54,43.83
"2015-08-02 10:15:00",0,0,0,289173.81,289173.81,0.00,72088.53,0,0.00,26308.38,302511.47,302511.47,0,11.86,3.88,12.41,0.96,213.40,123.66,37.63,60.00,12.32,0.79,12.69,90.17,31.08,95.48,0,-6.91,0,118338.55,96842.71,73992.55,0,0,0.00,22209.33,24727.62,25151.57,0,0,0,0,0,0.00,12024.51,7980.53,6303.34,122694.27,101425.15,80515.06,0,0,0.00,4.97,3.75,3.14,-1.49,2.37,2.99,5.19,4.43,4.34,0.96,0.85,0.72,213.26,213.09,213.73,123.07,124.23,123.61,42.91,32.97,35.87
"2015-08-02 10:30:00",0,0,0,289176.63,289176.63,0.00,72089.40,0,0.00,26309.02,302514.34,302514.34,0,12.30,2.98,12.66,0.97,213.28,123.59,39.31,59.99,11.24,0.63,11.42,90.17,31.08,95.48,0,-6.91,0,118339.78,96843.59,73993.27,0,0,0.00,22209.33,24727.81,25152.26,0,0,0,0,0,0.00,12024.93,7980.74,6303.35,122695.56,101426.12,80516.06,0,0,0.00,4.98,4.39,2.93,-1.62,1.28,3.33,5.24,4.57,4.43,0.95,0.96,0.66,213.12,212.94,213.77,123.08,124.14,123.55,42.74,38.01,37.17
