time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-25 06:45:00",0,0,0,1183890.25,1183931.75,41.53,4259.10,26.82,13.99,340789.59,1238160.63,1238200.25,39.64,60.56,-22.77,64.70,0.94,491.21,284.29,77.65,60.09,58.90,-26.54,64.65,454.05,30.87,462.50,0,-101.89,0,418663.72,396944.41,368323.63,21.63,15.36,4.54,1455.89,673.28,2129.93,19.75,4.24,2.83,0.07,0.15,13.77,127523.14,109648.66,103617.80,440014.72,412298.41,383792.53,35.28,16.02,18.68,22.25,21.50,16.81,-11.26,-6.10,-5.41,24.93,22.34,17.65,0.89,0.96,0.95,490.79,490.32,492.52,283.89,284.84,284.13,88.56,80.21,64.19
"2015-07-25 07:00:00",0,0,0,1183905.75,1183947.25,41.53,4259.10,26.82,13.99,340795.75,1238177.25,1238216.88,39.64,78.14,-16.58,79.89,0.98,491.95,284.72,94.23,59.93,68.93,-22.89,72.87,454.05,30.87,462.50,0,-101.89,0,418669.41,396949.69,368328.09,21.63,15.36,4.54,1455.89,673.28,2129.93,19.75,4.24,2.83,0.07,0.15,13.77,127525.77,109650.50,103619.51,440020.97,412304.03,383797.31,35.28,16.02,18.68,26.85,26.92,24.37,-6.83,-6.05,-3.70,27.69,27.58,24.64,0.97,0.98,0.99,491.33,491.62,492.91,284.12,285.58,284.44,98.46,97.12,87.12
"2015-07-25 07:15:00",0,0,0,1183922.38,1183963.88,41.53,4259.10,26.82,13.99,340801.34,1238194.88,1238234.50,39.64,57.31,-24.51,62.33,0.92,492.91,285.27,73.36,60.01,65.80,-23.41,70.02,454.05,30.87,462.50,0,-101.89,0,418675.50,396955.34,368333.06,21.63,15.36,4.54,1455.89,673.28,2129.93,19.75,4.24,2.83,0.07,0.15,13.77,127528.06,109652.22,103621.05,440027.50,412309.94,383802.53,35.28,16.02,18.68,21.32,19.93,15.48,-11.74,-7.96,-7.04,24.33,21.45,16.99,0.89,0.95,0.91,492.10,492.12,494.50,284.73,285.65,285.43,85.44,75.09,59.54
"2015-07-25 07:30:00",0,0,0,1183939.25,1183980.75,41.53,4259.10,26.82,13.99,340806.88,1238212.75,1238252.38,39.64,73.63,-22.36,76.95,0.96,494.35,286.10,88.83,60.01,62.63,-23.54,67.10,454.05,30.87,462.50,0,-101.89,0,418681.69,396961.09,368337.97,21.63,15.36,4.54,1455.89,673.28,2129.93,19.75,4.24,2.83,0.07,0.15,13.77,127530.43,109653.87,103622.57,440034.19,412315.97,383807.72,35.28,16.02,18.68,26.59,25.33,21.71,-9.72,-5.30,-7.34,28.30,25.86,22.90,0.94,0.98,0.95,493.75,493.47,495.82,285.61,286.65,286.05,97.56,90.35,78.59
"2015-07-25 07:45:00",0,0,0,1183955.50,1183997.00,41.53,4259.10,26.82,13.99,340812.66,1238230.00,1238269.63,39.64,61.65,-20.91,65.10,0.95,491.81,284.64,77.52,60.01,72.32,-21.09,75.60,454.05,30.87,462.50,0,-101.89,0,418687.59,396966.78,368342.66,21.63,15.36,4.54,1455.89,673.28,2129.93,19.75,4.24,2.83,0.07,0.15,13.77,127532.92,109655.59,103624.15,440040.63,412321.88,383812.69,35.28,16.02,18.68,22.71,22.52,16.42,-11.07,-1.87,-7.97,25.26,22.59,18.24,0.90,1.00,0.90,491.12,490.82,493.50,284.28,285.03,284.61,88.86,82.49,61.22
"2015-07-25 08:00:00",0,0,0,1183972.38,1184013.88,41.53,4259.12,26.82,13.99,340817.94,1238247.75,1238287.38,39.64,67.49,-18.98,70.11,0.96,492.59,285.08,83.38,60.01,60.03,-23.65,64.63,454.05,30.87,462.50,0,-101.89,0,418693.75,396972.69,368347.41,21.63,15.36,4.54,1455.89,673.28,2129.95,19.75,4.24,2.83,0.07,0.15,13.77,127535.16,109657.20,103625.59,440047.22,412328.09,383817.66,35.28,16.02,18.68,25.70,23.80,17.99,-11.37,-5.21,-2.41,28.09,24.35,17.82,0.92,0.98,1.00,492.13,491.79,493.85,284.57,285.81,284.88,97.17,87.94,65.02
"2015-07-25 08:15:00",0,0,0,1183989.88,1184031.38,41.53,4259.37,26.82,13.99,340823.03,1238266.25,1238305.88,39.64,77.33,-18.52,79.52,0.97,492.94,285.29,92.16,59.95,69.61,-21.34,72.97,454.05,30.87,462.50,0,-101.89,0,418700.38,396978.75,368352.41,21.63,15.36,4.54,1455.90,673.34,2130.13,19.75,4.24,2.83,0.07,0.15,13.77,127537.34,109658.75,103626.98,440054.19,412334.31,383822.88,35.28,16.02,18.68,27.91,26.16,21.92,-3.73,-3.92,-11.80,28.14,25.85,24.88,1.00,0.95,1.00,492.06,492.11,494.66,284.85,285.67,285.35,98.79,90.50,87.20
"2015-07-25 08:30:00",0,0,0,1184005.50,1184047.00,41.53,4259.40,26.82,13.99,340828.06,1238282.63,1238322.25,39.64,51.37,-20.84,55.43,0.93,494.09,285.95,65.26,59.95,73.23,-17.95,76.01,454.05,30.87,462.50,0,-101.89,0,418706.00,396984.25,368356.78,21.63,15.36,4.54,1455.90,673.34,2130.17,19.75,4.24,2.83,0.07,0.15,13.77,127539.39,109660.27,103628.38,440060.25,412340.06,383827.47,35.28,16.02,18.68,19.01,18.54,13.82,-9.49,-5.78,-5.57,21.24,19.41,14.89,0.90,0.96,0.93,493.41,493.50,495.36,285.44,286.61,285.81,74.22,69.12,52.45
"2015-07-25 08:45:00",0,0,0,1184021.13,1184062.63,41.53,4259.43,26.82,13.99,340832.97,1238299.00,1238338.63,39.64,71.19,-19.43,73.79,0.96,493.73,285.75,85.46,60.01,56.63,-20.97,60.56,454.05,30.87,462.50,0,-101.89,0,418711.59,396989.69,368361.31,21.63,15.36,4.54,1455.90,673.34,2130.19,19.75,4.24,2.83,0.07,0.15,13.77,127541.40,109661.82,103629.75,440066.22,412345.75,383832.19,35.28,16.02,18.68,25.47,24.49,21.23,-5.52,-8.54,-5.36,26.05,25.92,21.89,0.98,0.94,0.97,493.01,493.22,494.97,285.18,286.42,285.65,92.71,87.90,75.78
"2015-07-25 09:00:00",0,0,0,1184035.75,1184077.25,41.53,4259.43,26.82,13.99,340838.44,1238314.75,1238354.38,39.64,56.97,-19.81,60.32,0.94,494.51,286.20,70.61,60.02,63.44,-19.24,66.49,454.05,30.87,462.50,0,-101.89,0,418717.06,396994.97,368365.31,21.63,15.36,4.54,1455.90,673.34,2130.19,19.75,4.24,2.83,0.07,0.15,13.77,127543.70,109663.54,103631.23,440072.19,412351.28,383836.47,35.28,16.02,18.68,20.85,19.70,16.44,-11.36,-3.98,-3.48,23.73,20.09,16.80,0.95,0.90,1.00,493.38,493.75,496.40,285.72,286.41,286.46,83.06,70.13,58.64
"2015-07-25 09:15:00",0,0,0,1184052.75,1184094.25,41.53,4259.56,26.82,13.99,340843.19,1238332.25,1238371.88,39.64,71.88,-0.83,74.93,0.97,493.50,285.61,86.38,60.02,58.43,-22.21,62.55,454.05,30.87,462.50,0,-101.89,0,418723.19,397000.81,368370.22,21.63,15.36,4.54,1455.90,673.34,2130.32,19.75,4.24,2.83,0.07,0.15,13.77,127545.65,109665.07,103632.48,440078.66,412357.38,383841.56,35.28,16.02,18.68,25.29,25.19,21.40,-3.78,-4.94,7.89,25.56,25.65,22.80,0.99,0.98,0.94,492.34,492.63,495.08,285.10,285.96,285.52,90.92,90.41,76.24
"2015-07-25 09:30:00",0,0,0,1184066.63,1184108.13,41.53,4259.59,26.82,13.99,340848.06,1238347.00,1238386.63,39.64,49.40,-18.51,52.75,0.94,494.22,286.03,62.34,60.01,67.85,-17.65,70.48,454.05,30.87,462.50,0,-101.89,0,418728.38,397005.56,368374.16,21.63,15.36,4.54,1455.90,673.34,2130.36,19.75,4.24,2.83,0.07,0.15,13.77,127547.70,109666.43,103633.95,440084.22,412362.31,383845.75,35.28,16.02,18.68,18.41,16.87,14.11,-8.11,-6.41,-3.98,20.11,18.04,14.66,0.92,0.94,0.96,493.00,494.04,495.62,285.21,286.62,286.26,71.17,62.46,53.40
